time,Karpos
2019-04-2 21:00:00,3.1103
2019-04-2 22:00:00,2.7744
2019-04-2 23:00:00,1.8071
2019-04-3 00:00:00,0.6973
2019-04-3 01:00:00,0.5449
2019-04-3 02:00:00,0.4391
2019-04-3 03:00:00,0.3785
2019-04-3 04:00:00,0.2944
2019-04-3 05:00:00,0.2759
2019-04-3 06:00:00,0.2293
2019-04-3 07:00:00,0.5057
2019-04-3 08:00:00,0.5762
2019-04-3 09:00:00,1.1222
2019-04-3 10:00:00,
