time,Karpos
2019-04-3 10:00:00,38.2146
2019-04-3 11:00:00,37.355
2019-04-3 12:00:00,42.0538
2019-04-3 13:00:00,43.8433
2019-04-3 14:00:00,40.4492
2019-04-3 15:00:00,40.8868
2019-04-3 16:00:00,45.2545
2019-04-3 17:00:00,47.2831
2019-04-3 18:00:00,51.1102
2019-04-3 19:00:00,47.8641
2019-04-3 20:00:00,49.244
2019-04-3 21:00:00,53.6177
2019-04-3 22:00:00,46.437
