time,PM10,PM25,NO2
2/7/2019 13:00,20.8673,22.0611,7.5707
2/7/2019 14:00,18.9122,19.0332,7.3388
2/7/2019 15:00,18.7854,17.5403,9.9498
2/7/2019 16:00,22.1032,20.5114,10.0899
2/7/2019 17:00,30.1959,27.3765,15.4413
2/7/2019 18:00,36.3073,30.6595,16.8468
2/7/2019 19:00,42.1504,34.1742,16.0968
2/7/2019 20:00,42.3495,33.107,15.1694
2/7/2019 21:00,58.6725,45.5184,20.8154
2/7/2019 22:00,66.8185,49.3287,23.5801
2/7/2019 23:00,55.0364,38.9644,17.5348
2/8/2019 0:00,86.0493,62.3462,20.3805
2/8/2019 1:00,88.5852,65.406,19.028
2/8/2019 2:00,61.2493,42.933,15.5952
2/8/2019 3:00,51.9701,35.7977,12.3609
2/8/2019 4:00,73.7809,50.5483,12.9
2/8/2019 5:00,71.9989,49.813,11.1774
2/8/2019 6:00,63.1345,45.5187,12.5557
2/8/2019 7:00,55.4847,41.1014,13.5533
2/8/2019 8:00,64.7935,48.5142,16.7184
2/8/2019 9:00,72.667,54.3762,18.247
2/8/2019 10:00,82.2599,62.6932,26.103
2/8/2019 11:00,70.5626,55.3707,30.8392
2/8/2019 12:00,68.7104,54.6214,27.2439
2/8/2019 13:00,62.3896,50.0189,21.3889
2/8/2019 14:00,38.2396,29.6871,10.8978
2/8/2019 15:00,33.2345,25.369,7.3404
2/8/2019 16:00,42.3856,33.0887,9.9768
2/8/2019 17:00,58.1602,43.3873,14.1643
2/8/2019 18:00,57.5851,40.2367,14.6301
2/8/2019 19:00,66.9347,45.5931,22.6935
2/8/2019 20:00,52.569,34.9731,17.2651
2/8/2019 21:00,48.6548,32.0909,15.8258
2/8/2019 22:00,74.5753,50.4738,23.5066
2/8/2019 23:00,130.875,91.5443,27.4347
2/9/2019 0:00,102.418,72.2422,24.6113
2/9/2019 1:00,88.2585,62.555,21.0195
2/9/2019 2:00,101.997,73.2716,21.2856
2/9/2019 3:00,110.833,79.7712,23.3769
2/9/2019 4:00,86.459,61.4041,17.0572
2/9/2019 5:00,67.4851,47.0027,13.3031
2/9/2019 6:00,61.0518,42.4675,12.0946
2/9/2019 7:00,62.3824,42.8165,15.9828
2/9/2019 8:00,80.4294,56.532,17.6499
2/9/2019 9:00,65.8295,46.7046,16.9065
2/9/2019 10:00,49.4907,34.6306,18.4224
2/9/2019 11:00,35.1864,24.4283,13.0367
2/9/2019 12:00,32.7498,23.5379,10.3863
2/9/2019 13:00,33.2689,25.5679,8.3628
2/9/2019 14:00,35.0674,27.4743,9.7584
2/9/2019 15:00,34.8594,27.5519,10.388
2/9/2019 16:00,35.2982,26.4301,10.761
2/9/2019 17:00,37.2112,26.2345,20.0905
2/9/2019 18:00,74.1044,52.8214,32.6646
2/9/2019 19:00,103.627,73.0536,33.986
2/9/2019 20:00,115.797,79.5289,33.3429
2/9/2019 21:00,123.763,84.3536,32.343
2/9/2019 22:00,109.702,72.5397,28.5877
2/9/2019 23:00,113.156,74.7292,25.5491
2/10/2019 0:00,104.818,71.13,23.5415
2/10/2019 1:00,154.571,107.037,22.6117
